 المملكة العربية السعودية &  الرياض &  2,149,690 كم² &  34,413,660 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9 &
&  الإمارات العربية المتحدة &  أبوظبي &  83,600 كم² &  9599353 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9_%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9 &
&  مملكة البحرين &  المنامة &  785.08 كم² &  1,569,446 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86 &
&  دولة الكويت &  الكويت &  17,818 كم² &  4,675,710 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA &
&  الجمهورية اليمنية &  صنعاء &  555,000 كم² &  30,411,000 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%8A%D9%85%D9%86 &
&  دولة قطر &  الدوحة &  11,521 كم² &  2,977,955 نسمة &  https://ar.wikipedia.org/wiki/%D9%82%D8%B7%D8%B1 &
&  سلطنة عمان &  مسقط &  309,500 كم² &  4,914,891 نسمة &  https://ar.wikipedia.org/wiki/%D8%B3%D9%84%D8%B7%D9%86%D8%A9_%D8%B9%D9%85%D8%A7%D9%86 &
&  المملكة الأردنية الهاشمية &  عمان &  89,341 كم² &  10,428,241 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86 &
&  الجمهورية العربية السورية &  دمشق &  185,180 كم² &  18,499,181 نسمة &  https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7 &
&  الجمهورية اللبنانية &  بيروت &  10,452 كم² &  4,259,000 نسمة &  https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86 &
&  دولة فلسطين &  القدس &  26,990 كم² &  5,287,193 نسمة &  https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%A9_%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86 &
&  جمهورية العراق &  بغداد &  438,317 كم² &  40,123,000 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82 &
&  جمهورية السودان &  الخرطوم &  1,861,484 كم² &  47,958,856 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86 &
&  جمهورية مصر العربية &  القاهرة &  1,001,450 كم² &  104,395,178 نسمة &  https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1 &
&  دولة ليبيا &  طرابلس &  1,759,541 كم² &  7,017,224 نسمة &  https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7 &
&  الجمهورية التونسية &  تونس &  163,610 كم² &  11,708,370 نسمة &  https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3 &
&  الجمهورية الجزائرية الديموقراطية الشعبية &  الجزائر &  2,381,741 كم² &  38,700,000 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1 &
&  المملكة المغربية &  الرباط &  710,850 كم² &  36,471,769 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8 &
&  الجمهورية الإسلامية الموريتانية &  نواكشط &  1,030,700 كم² &  4,775,110 نسمة &  https://ar.wikipedia.org/wiki/%D9%85%D9%88%D8%B1%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D8%A7 &
&  جمهورية الصومال الفيدرالية &  مقديشو &  637,657 كم² &  11,031,386 نسمة &  https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B5%D9%88%D9%85%D8%A7%D9%84 &
&  جمهورية جيبوتي &  جيبوتي &  23,200 كم² &  992,333 نسمة &  https://ar.wikipedia.org/wiki/%D8%AC%D9%8A%D8%A8%D9%88%D8%AA%D9%8A &
&  جزر القمر &  موروني &  1,862 كم² &  876,935 نسمة &  https://ar.wikipedia.org/wiki/%D8%AC%D8%B2%D8%B1_%D8%A7%D9%84%D9%82%D9%85%D8%B1 &
